
:->   1178122 µs

:->    489440 µs

:->    790053 µs

:->   1088470 µs

:->    388354 µs

:->    706007 µs

:->   1004086 µs

:->    322788 µs

:->    629103 µs

:->    938476 µs

:->   1241125 µs

:->    544485 µs

:->    844408 µs

:->   1149371 µs

:->    445897 µs

:->    741260 µs

:->   1043600 µs

:->    345525 µs

:->    645016 µs

:->    946192 µs

:->   1244932 µs

:->    555952 µs

:->    861605 µs

:->   1166304 µs

:->    464723 µs

:->    775320 µs

:->   1095494 µs

:->    396156 µs

:->    697574 µs

:->   1015279 µs
