
:->   2926227 µs

:->   3721604 µs

:->   3575437 µs

:->   3381186 µs

:->   3012013 µs

:->   2752917 µs

:->   3551201 µs

:->   3376844 µs

:->   3205860 µs

:->   2821999 µs

:->   3438297 µs

:->   3041335 µs

:->   2627179 µs

:->   3345373 µs

:->   3139333 µs

:->   2872402 µs

:->   3458808 µs

:->   3251749 µs

:->   3165141 µs

:->   2984944 µs

:->   2958872 µs

:->   2693559 µs

:->   3378077 µs

:->   2985468 µs

:->   2652810 µs

:->   3336827 µs

:->   3005198 µs

:->   2850343 µs

:->   3617522 µs

:->   3373492 µs
