
:->   5021482 µs

:->   5416518 µs

:->   5269546 µs

:->   5380497 µs

:->   5650702 µs

:->   5739210 µs

:->   5874412 µs

:->   5933892 µs

:->   6205494 µs

:->   5061045 µs

:->   5318124 µs

:->   5493711 µs

:->   5761473 µs

:->   5823333 µs

:->   6179177 µs

:->   5379631 µs

:->   5867710 µs

:->   6375385 µs

:->   5682896 µs

:->   6096520 µs

:->   5828113 µs

:->   6016760 µs

:->   5700329 µs

:->   6076185 µs

:->   5658510 µs

:->   6182081 µs

:->   5754260 µs

:->   6267064 µs

:->   5849144 µs

:->   6258139 µs
