
:->   1007421 µs

:->    578043 µs

:->   1158851 µs

:->    730039 µs

:->   1302888 µs

:->    884787 µs

:->   1472475 µs

:->   1050518 µs

:->    623715 µs

:->   1201400 µs

:->    788430 µs

:->   1366223 µs

:->    951813 µs

:->   1526140 µs

:->   1109208 µs

:->    685662 µs

:->   1256804 µs

:->    830446 µs

:->   1423126 µs

:->    997204 µs

:->    596244 µs

:->   1200003 µs

:->    789194 µs

:->   1368196 µs

:->    979604 µs

:->    557718 µs

:->   1138162 µs

:->    717117 µs

:->   1292488 µs

:->    869954 µs
